Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
88,853,9,4,632,3112,316,0,70.22222222,139.34290239999999,1556,0,778.0,898.3570189,4389214.537,15240.32825,71.08333333,176.4809845,628,1,853,106.625,241.3236934,701,1,735,245.0,342.0803999,640,47,0,0,0,0,204,104,10550.99648,4689.331770000001,0,1556,267.4285714,557.5172594,310825.4945,0,0,0,1,0,0,0,0,0,288.0,70.22222222,778.0,204,0,0,0,0,0,0,9,632,4,3112,8192,2053,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
22,12080347,20,33,2008,2745,640,0,100.4,141.91413269999998,976,0,83.18181818,217.2857356,393.448963,4.387291193,232314.3654,626943.4752,2368248,3,10100000,531550.1053,908143.2299,2432285,244,12100000,377508.3125,768241.2502,2368248,3,0,0,0,0,648,1064,1.655581582,2.7317096110000003,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,100.4,83.18181818,648,0,0,0,0,0,0,20,2008,33,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
80,21958,3,4,26,11601,20,0,8.666666667000001,10.26320288,8760,0,2900.25,4128.3193009999995,529510.8844,318.7904181,3659.666667,7883.064878,19705,62,19922,9961.0,13867.77819,19767,155,21896,7298.666667,10960.50137,19933,339,0,0,0,0,72,92,136.6244649,182.1659532,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661.0,8.666666667000001,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
49671,14257993,11,6,2378,2160,968,0,216.1818182,381.7917805,952,0,360.0,462.1203306,318.2776145,1.192313673,891124.5625,3549720.687,14200000,2,14300000,1425799.3,4489301.086,14200000,2,975,195.0,299.4052438,721,3,0,0,0,0,244,144,0.771497082,0.42081659,0,968,252.11111110000002,396.5309704,157236.8105,0,0,0,1,0,0,0,0,0,266.94117650000004,216.1818182,360.0,244,0,0,0,0,0,0,11,2378,6,2160,8192,2049,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,147,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,54421.768710000004,13605.442180000002,147.0,0.0,147,147,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,6802.721087999999,6802.721087999999,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,7007965,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,3.424674638,0.570779106,2335988.333,4045465.912,7007290,329,7007965,2335988.333,4045465.912,7007290,329,0,0.0,0.0,0,0,0,0,0,0,80,0,0.570779106,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,675.0,0.0,675,675,7007290.0,0.0,7007290,7007290,DDoS
21,8792816,9,15,106,188,23,0,11.77777778,9.417772796,34,0,12.53333333,14.54975045,33.43638716,2.7295009930000003,382296.3478,974586.0035,2952550,1,6044039,755504.875,1355172.6409999998,2994553,48,8792720,628051.4286,1200495.393,2952550,1,0,0,0,0,296,488,1.023562872,1.70593812,0,34,11.76,12.61705195,159.19,0,0,0,1,0,0,0,0,1,12.25,11.77777778,12.53333333,296,0,0,0,0,0,0,9,106,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
22,90,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,22222.22222,90.0,0.0,90,90,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,11111.11111,11111.11111,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
80,6067515,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,3.955490839,0.659248473,2022505.0,3502586.0530000003,6066943,225,6067515,2022505.0,3502586.0530000003,6066943,225,0,0.0,0.0,0,0,0,0,0,0,80,0,0.659248473,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,572.0,0.0,572,572,6066943.0,0.0,6066943,6066943,DDoS
123,71996253,6,6,288,288,48,48,48.0,0.0,48,48,48.0,0.0,8.000416355,0.166675341,6545113.909,19800000.0,66000000,3,72000000,14400000.0,29000000.0,66000000,3,72000000,14400000.0,29000000.0,66000000,3,0,0,0,0,144,144,0.08333767,0.08333767,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,52.0,48.0,48.0,144,0,0,0,0,0,0,6,288,6,288,-1,-1,5,20,125.0,14.14213562,135,115,36000000.0,42400000.0,66000000,6010334,BENIGN
