Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
88,1144,7,4,2730,2780,1365,0,390.0,666.0517997999999,1390,0,695.0,802.5168742000001,4816433.566000001,9615.384615,114.4,236.53808709999998,770,0,1144,190.66666669999998,396.1811034,998,1,917,305.6666667,487.56162,868,1,0,0,0,0,164,104,6118.881119,3496.5034969999997,0,1390,459.16666669999995,678.2760009,460058.3333,0,0,0,1,0,0,0,0,0,500.9090909,390.0,695.0,164,0,0,0,0,0,0,7,2730,4,2780,8192,2053,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
389,2924095,25,21,5740,7080,1684,0,229.6,450.54836960000006,2634,0,337.14285710000007,647.9580454,4384.262481000001,15.73136304,64979.888889999995,426987.4492,2865148,0,2924095,121837.2917,584427.0479,2865148,2,2924030,146201.5,652744.4584,2919405,2,0,0,0,0,524,444,8.549653825,7.1817092129999995,0,2634,272.76595739999993,541.2718602000001,292975.2266,0,0,0,1,0,0,0,0,0,278.6956522,229.6,337.14285710000007,524,0,0,0,0,0,0,25,5740,21,7080,8192,0,16,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5311938,9,7,362,5202,205,0,40.22222222,74.41568682,2920,0,743.1428571,1042.814689,1047.451985,3.0120833489999996,354129.2,1285640.8059999999,4996939,16,5311938,663992.25,1752740.61,4996939,48,291712,48618.66667,87352.9251,223342,80,0,0,0,0,204,152,1.6942968840000001,1.317786465,0,2920,327.29411760000005,734.3535222,539275.0956,0,0,0,1,0,0,0,0,0,347.75,40.22222222,743.1428571,204,0,0,0,0,0,0,9,362,7,5202,8192,946,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
49671,22953788,21,14,3014,2080,760,0,143.5238095,219.0731885,680,0,148.5714286,228.1530236,221.92415469999997,1.524802791,675111.4118,3875894.9839999997,22600000,1,23000000,1147689.4,5051821.808,22600000,1,292168,22474.46154,80570.56457999999,290629,3,0,0,0,0,444,304,0.9148816740000001,0.609921116,0,760,141.5,217.60836380000003,47353.4,0,0,0,1,0,0,0,0,0,145.5428571,143.5238095,148.5714286,444,0,0,0,0,0,0,21,3014,14,2080,8192,2047,12,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5194319,5,5,72,651,72,0,14.4,32.19937888,646,0,130.2,288.349094,139.1905272,1.9251801819999999,577146.5556,1660875.775,5004817,1,189502,47375.5,54585.37525,95028,3,5100152,1275038.0,2486970.926,5004899,1,0,0,0,0,168,168,0.9625900909999999,0.9625900909999999,0,646,65.72727273,193.650247,37500.41818,0,0,0,1,0,0,0,0,1,72.3,14.4,130.2,168,0,0,0,0,0,0,5,72,5,651,29200,114,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
88,1152,7,5,2796,2836,1398,0,399.42857139999995,682.154151,1418,0,567.2,776.6705865,4888888.8889999995,10416.66667,104.7272727,232.14223700000002,792,2,1152,192.0,413.3850505,1034,2,987,246.75,416.0187295,866,4,0,0,0,0,164,124,6076.388889,4340.277778,0,1418,433.2307692,676.4059622000001,457525.0256,0,0,0,1,0,0,0,0,0,469.33333330000005,399.42857139999995,567.2,164,0,0,0,0,0,0,7,2796,5,2836,8192,2053,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
88,1085,9,6,3150,3152,1575,0,350.0,694.5097192000001,1576,0,525.3333333,813.8429005,5808294.931,13824.88479,77.5,218.84759359999998,834,1,1085,135.625,327.1207455,942,1,990,198.0,360.8649332,834,1,0,0,0,0,304,208,8294.930876,5529.953917,0,1576,393.875,704.585067,496440.1167,0,0,0,1,0,0,0,0,0,420.13333330000006,350.0,525.3333333,304,0,0,0,0,0,0,9,3150,6,3152,29200,2081,2,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,80453,3,5,427,2267,427,0,142.33333330000002,246.52856490000002,1460,0,453.4,662.3804043,33485.38898,99.43693834,11493.28571,14326.53356,29891,2,50572,25286.0,6595.892054999999,29950,20622,50562,12640.5,24646.52606,49605,2,0,0,0,0,72,112,37.28885188,62.14808646,0,1460,299.3333333,519.4677565000001,269846.75,0,0,0,1,0,0,0,0,1,336.75,142.33333330000002,453.4,72,0,0,0,0,0,0,3,427,5,2267,8192,237,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,2668,5,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1874.062969,667.0,840.7429254000001,1926,209,2668,667.0,840.7429254000001,1926,209,0,0.0,0.0,0,0,0,0,0,0,160,0,1874.062969,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,160,0,0,0,0,0,0,5,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
443,73489552,172,454,4411,748034,1712,0,25.64534884,162.67611000000002,3864,0,1647.651982,742.4102669,10238.80238,8.518217664,117583.2832,999984.94,10000000,0,69400000,405825.53799999994,1884669.987,10200000,1,73300000,161899.2759,1190418.649,10200000,1,0,0,0,0,5512,14536,2.340468751,6.177748912999999,0,3864,1200.07177,965.7319012,932638.1051,0,0,0,1,0,0,0,0,2,1201.988818,25.64534884,1647.651982,5512,0,0,0,0,0,0,172,4411,454,748034,29200,203,6,32,1539254.167,3405677.538,8491064,148135,10000000.0,1203.955758,10000000,10000000,BENIGN
80,2559,5,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1953.888238,639.75,803.3896419,1838,150,2559,639.75,803.3896419,1838,150,0,0.0,0.0,0,0,0,0,0,0,160,0,1953.888238,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,160,0,0,0,0,0,0,5,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,732,2,1,8,2,6,2,4.0,2.828427125,2,2,2.0,0.0,13661.20219,4098.360656,366.0,401.6366517,650,82,732,732.0,0.0,732,732,0,0.0,0.0,0,0,0,0,0,0,44,24,2732.240437,1366.120219,2,6,3.0,2.0,4.0,0,0,0,1,0,0,0,0,0,4.0,4.0,2.0,44,0,0,0,0,0,0,2,8,1,2,1024,29200,1,20,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
88,1115,9,6,3150,3150,1575,0,350.0,694.5097192000001,1575,0,525.0,813.3265027000001,5650224.215,13452.9148,79.64285714,220.33596969999996,842,1,1115,139.375,339.26177739999997,976,1,1026,205.2,359.5659884,842,3,0,0,0,0,304,208,8071.748879000001,5381.165919,0,1575,393.75,704.3614129,496125.0,0,0,0,1,0,0,0,0,0,420.0,350.0,525.0,304,0,0,0,0,0,0,9,3150,6,3150,29200,2081,2,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,106138,3,6,18,11595,18,0,6.0,10.39230485,4344,0,1932.5,1754.831473,109414.1589,84.79526654,13267.25,36866.46853,104505,15,105365,52682.5,73288.08234,104505,860,106047,21209.4,47053.05556,105380,15,0,0,0,0,104,200,28.26508885,56.53017769,0,4344,1161.3,1643.79818,2702072.4560000002,0,0,0,1,0,0,0,0,2,1290.333333,6.0,1932.5,104,0,0,0,0,0,0,3,18,6,11595,29200,227,1,32,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
88,900,9,4,600,2944,300,0,66.66666667,132.2875656,1472,0,736.0,849.8595962000002,3937777.778,14444.444440000001,75.0,192.7952282,684,1,900,112.5,252.41122909999999,734,1,766,255.33333330000002,435.32325149999997,758,3,0,0,0,0,204,104,10000.0,4444.444444,0,1472,253.1428571,527.4342623,278186.9011,0,0,0,1,0,0,0,0,0,272.6153846,66.66666667,736.0,204,0,0,0,0,0,0,9,600,4,2944,8192,2053,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
