Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
88,1144,7,4,2730,2780,1365,0,390.0,666.0517997999999,1390,0,695.0,802.5168742000001,4816433.566000001,9615.384615,114.4,236.53808709999998,770,0,1144,190.66666669999998,396.1811034,998,1,917,305.6666667,487.56162,868,1,0,0,0,0,164,104,6118.881119,3496.5034969999997,0,1390,459.16666669999995,678.2760009,460058.3333,0,0,0,1,0,0,0,0,0,500.9090909,390.0,695.0,164,0,0,0,0,0,0,7,2730,4,2780,8192,2053,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
389,2924095,25,21,5740,7080,1684,0,229.6,450.54836960000006,2634,0,337.14285710000007,647.9580454,4384.262481000001,15.73136304,64979.888889999995,426987.4492,2865148,0,2924095,121837.2917,584427.0479,2865148,2,2924030,146201.5,652744.4584,2919405,2,0,0,0,0,524,444,8.549653825,7.1817092129999995,0,2634,272.76595739999993,541.2718602000001,292975.2266,0,0,0,1,0,0,0,0,0,278.6956522,229.6,337.14285710000007,524,0,0,0,0,0,0,25,5740,21,7080,8192,0,16,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5311938,9,7,362,5202,205,0,40.22222222,74.41568682,2920,0,743.1428571,1042.814689,1047.451985,3.0120833489999996,354129.2,1285640.8059999999,4996939,16,5311938,663992.25,1752740.61,4996939,48,291712,48618.66667,87352.9251,223342,80,0,0,0,0,204,152,1.6942968840000001,1.317786465,0,2920,327.29411760000005,734.3535222,539275.0956,0,0,0,1,0,0,0,0,0,347.75,40.22222222,743.1428571,204,0,0,0,0,0,0,9,362,7,5202,8192,946,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
49671,22953788,21,14,3014,2080,760,0,143.5238095,219.0731885,680,0,148.5714286,228.1530236,221.92415469999997,1.524802791,675111.4118,3875894.9839999997,22600000,1,23000000,1147689.4,5051821.808,22600000,1,292168,22474.46154,80570.56457999999,290629,3,0,0,0,0,444,304,0.9148816740000001,0.609921116,0,760,141.5,217.60836380000003,47353.4,0,0,0,1,0,0,0,0,0,145.5428571,143.5238095,148.5714286,444,0,0,0,0,0,0,21,3014,14,2080,8192,2047,12,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5194319,5,5,72,651,72,0,14.4,32.19937888,646,0,130.2,288.349094,139.1905272,1.9251801819999999,577146.5556,1660875.775,5004817,1,189502,47375.5,54585.37525,95028,3,5100152,1275038.0,2486970.926,5004899,1,0,0,0,0,168,168,0.9625900909999999,0.9625900909999999,0,646,65.72727273,193.650247,37500.41818,0,0,0,1,0,0,0,0,1,72.3,14.4,130.2,168,0,0,0,0,0,0,5,72,5,651,29200,114,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
88,1152,7,5,2796,2836,1398,0,399.42857139999995,682.154151,1418,0,567.2,776.6705865,4888888.8889999995,10416.66667,104.7272727,232.14223700000002,792,2,1152,192.0,413.3850505,1034,2,987,246.75,416.0187295,866,4,0,0,0,0,164,124,6076.388889,4340.277778,0,1418,433.2307692,676.4059622000001,457525.0256,0,0,0,1,0,0,0,0,0,469.33333330000005,399.42857139999995,567.2,164,0,0,0,0,0,0,7,2796,5,2836,8192,2053,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
88,1085,9,6,3150,3152,1575,0,350.0,694.5097192000001,1576,0,525.3333333,813.8429005,5808294.931,13824.88479,77.5,218.84759359999998,834,1,1085,135.625,327.1207455,942,1,990,198.0,360.8649332,834,1,0,0,0,0,304,208,8294.930876,5529.953917,0,1576,393.875,704.585067,496440.1167,0,0,0,1,0,0,0,0,0,420.13333330000006,350.0,525.3333333,304,0,0,0,0,0,0,9,3150,6,3152,29200,2081,2,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,80453,3,5,427,2267,427,0,142.33333330000002,246.52856490000002,1460,0,453.4,662.3804043,33485.38898,99.43693834,11493.28571,14326.53356,29891,2,50572,25286.0,6595.892054999999,29950,20622,50562,12640.5,24646.52606,49605,2,0,0,0,0,72,112,37.28885188,62.14808646,0,1460,299.3333333,519.4677565000001,269846.75,0,0,0,1,0,0,0,0,1,336.75,142.33333330000002,453.4,72,0,0,0,0,0,0,3,427,5,2267,8192,237,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
22,481,2,1,24,0,24,0,12.0,16.97056275,0,0,0.0,0.0,49896.0499,6237.006237,240.5,313.24830410000004,462,19,481,481.0,0.0,481,481,0,0.0,0.0,0,0,1,0,0,0,64,20,4158.004158,2079.002079,0,24,12.0,13.85640646,192.0,0,1,0,0,1,0,0,0,0,16.0,12.0,0.0,64,0,0,0,0,0,0,2,24,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
443,73489552,172,454,4411,748034,1712,0,25.64534884,162.67611000000002,3864,0,1647.651982,742.4102669,10238.80238,8.518217664,117583.2832,999984.94,10000000,0,69400000,405825.53799999994,1884669.987,10200000,1,73300000,161899.2759,1190418.649,10200000,1,0,0,0,0,5512,14536,2.340468751,6.177748912999999,0,3864,1200.07177,965.7319012,932638.1051,0,0,0,1,0,0,0,0,2,1201.988818,25.64534884,1647.651982,5512,0,0,0,0,0,0,172,4411,454,748034,29200,203,6,32,1539254.167,3405677.538,8491064,148135,10000000.0,1203.955758,10000000,10000000,BENIGN
22,12315528,22,32,2008,2745,640,0,91.27272727,138.1821372,976,0,85.78125,220.240592,385.9355441,4.384708475,232368.4528,637572.3048,2544250,3,9727784,463227.8095,837206.1587,2164511,374,12300000,397272.4194,798183.2498,2544250,3,0,0,0,0,712,1032,1.7863627119999999,2.598345763,0,976,86.41818182,188.2012015,35419.69226,0,0,0,1,0,0,0,0,1,88.01851852,91.27272727,85.78125,712,0,0,0,0,0,0,22,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
22,4742052,14,15,1304,2153,640,0,93.14285714,174.58471919999997,976,0,143.5333333,314.5661108,729.0092981,6.1154959920000005,169359.0,592025.2619,2548066,22,4742052,364773.2308,872615.6479,2628331,293,4702754,335911.0,817471.5868,2548066,22,0,0,0,0,456,488,2.95230841,3.163187582,0,976,115.23333329999998,250.0818739,62540.94368,0,0,0,1,0,0,0,0,1,119.20689660000001,93.14285714,143.5333333,456,0,0,0,0,0,0,14,1304,15,2153,29200,247,8,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
88,1115,9,6,3150,3150,1575,0,350.0,694.5097192000001,1575,0,525.0,813.3265027000001,5650224.215,13452.9148,79.64285714,220.33596969999996,842,1,1115,139.375,339.26177739999997,976,1,1026,205.2,359.5659884,842,3,0,0,0,0,304,208,8071.748879000001,5381.165919,0,1575,393.75,704.3614129,496125.0,0,0,0,1,0,0,0,0,0,420.0,350.0,525.0,304,0,0,0,0,0,0,9,3150,6,3150,29200,2081,2,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
22,12698648,21,33,2008,2745,640,0,95.61904762,140.0451628,976,0,83.18181818,217.2857356,374.29181439999996,4.252421203,239597.1321,648302.7034,2491651,3,10900000,544665.35,952278.3193,2564898,293,12700000,396831.0625,800626.2308,2491651,3,0,0,0,0,680,1064,1.653719357,2.598701846,0,976,86.41818182,188.2012015,35419.69226,0,0,0,1,0,0,0,0,1,88.01851852,95.61904762,83.18181818,680,0,0,0,0,0,0,21,2008,33,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
